"Site","DateTime","Bay","Default GPS","VaneSize","Depth","ShearStrenght","Result","TSF","Comments","Attachments","MachineID","Operator","Instrument","CorrectionFactor","Created","Title","Manual GPS","Modified"
"zz Brisbane","2025-05-27T01:26:00Z",,"-33.24362052, 116.04014707","18x32","200","56","28",,,"0","MM48","David Yang","H-60","2","2025-05-27T01:29:36Z","VS",,"2025-05-27T01:29:36Z"
"zz Brisbane","2025-05-27T01:29:00Z",,"-33.24362052, 116.04014707","18x32","500","40","20",,,"0","MM48","David Yang","H-60","2","2025-05-27T01:30:10Z","VS",,"2025-05-27T01:30:10Z"
"zz Brisbane","2025-05-27T01:38:00Z",,"-33.24358978, 116.04023334","18x32","200","32","16",,,"0","MM48","David Yang","H-60","2","2025-05-27T01:38:56Z","VS",,"2025-05-27T01:38:56Z"
"zz Brisbane","2025-05-27T01:38:00Z",,"-33.24358978, 116.04023334","18x32","500","44","22",,,"0","MM48","David Yang","H-60","2","2025-05-27T01:39:14Z","VS",,"2025-05-27T01:39:14Z"
"zz Brisbane","2025-05-27T01:39:00Z",,"-33.24358978, 116.04023334","18x32","800","40","20",,,"0","MM48","David Yang","H-60","2","2025-05-27T01:39:32Z","VS",,"2025-05-27T01:39:32Z"
"zz Brisbane","2025-05-27T01:42:00Z",,"-33.24358978, 116.04023334","18x32","200","0","0",,,"0","MM48","David Yang","H-60","2","2025-05-27T01:43:09Z","VS",,"2025-05-27T01:43:09Z"
"zz Brisbane","2025-05-27T01:43:00Z",,"-33.24358978, 116.04023334","18x32","500","20","10",,,"0","MM48","David Yang","H-60","2","2025-05-27T01:43:30Z","VS",,"2025-05-27T01:43:30Z"
"zz Brisbane","2025-05-27T01:43:00Z",,"-33.24358978, 116.04023334","18x32","800","76","38",,,"0","MM48","David Yang","H-60","2","2025-05-27T01:44:08Z","VS",,"2025-05-27T01:44:08Z"
"zz Brisbane","2025-05-27T02:00:00Z",,"-33.24358978, 116.04023334","18x32","200","76","38",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:00:49Z","VS",,"2025-05-27T02:00:49Z"
"zz Brisbane","2025-05-27T02:00:00Z",,"-33.24369846, 116.03932125","18x32","500","128","64",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:01:23Z","VS",,"2025-05-27T02:01:23Z"
"zz Brisbane","2025-05-27T02:01:00Z",,"-33.24369846, 116.03932125","18x32","800","128","64",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:02:18Z","VS",,"2025-05-27T02:02:18Z"
"zz Brisbane","2025-05-27T02:05:00Z",,"-33.24369846, 116.03932125","18x32","200","56","28",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:05:45Z","VS",,"2025-05-27T02:05:45Z"
"zz Brisbane","2025-05-27T02:05:00Z",,"-33.24369846, 116.03932125","18x32","500","16","8",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:06:25Z","VS",,"2025-05-27T02:06:25Z"
"zz Brisbane","2025-05-27T02:06:00Z",,"-33.24369846, 116.03932125","18x32","800","88","44",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:06:58Z","VS",,"2025-05-27T02:06:58Z"
"zz Brisbane","2025-05-27T02:09:00Z",,"-33.2436304, 116.04045266","18x32","200","40","20",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:10:30Z","VS",,"2025-05-27T02:10:30Z"
"zz Brisbane","2025-05-27T02:10:00Z",,"-33.2436304, 116.04045266","18x32","500","36","18",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:11:01Z","VS",,"2025-05-27T02:11:01Z"
"zz Brisbane","2025-05-27T02:11:00Z",,"-33.2436304, 116.04045266","18x32","800","44","22",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:11:22Z","VS",,"2025-05-27T02:11:22Z"
"zz Brisbane","2025-05-27T02:13:00Z",,"-33.2436304, 116.04045266","18x32","200","44","22",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:13:56Z","VS",,"2025-05-27T02:13:56Z"
"zz Brisbane","2025-05-27T02:13:00Z",,"-33.2436304, 116.04045266","18x32","500","56","28",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:14:15Z","VS",,"2025-05-27T02:14:15Z"
"zz Brisbane","2025-05-27T02:14:00Z",,"-33.2436304, 116.04045266","18x32","800","52","26",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:14:47Z","VS",,"2025-05-27T02:14:47Z"
"zz Brisbane","2025-05-27T02:18:00Z",,"-33.24363629, 116.04095321","18x32","200","80","40",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:18:22Z","VS",,"2025-05-27T02:18:22Z"
"zz Brisbane","2025-05-27T02:18:00Z",,"-33.24363629, 116.04095321","18x32","500","56","28",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:18:49Z","VS",,"2025-05-27T02:18:49Z"
"zz Brisbane","2025-05-27T02:18:00Z",,"-33.24363629, 116.04095321","18x32","800","52","26",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:19:16Z","VS",,"2025-05-27T02:19:16Z"
"zz Brisbane","2025-05-27T02:22:00Z",,"-33.24355668, 116.04259821","18x32","200","20","10",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:22:41Z","VS",,"2025-05-27T02:22:41Z"
"zz Brisbane","2025-05-27T02:22:00Z",,"-33.24355668, 116.04259821","18x32","500","56","28",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:23:08Z","VS",,"2025-05-27T02:23:08Z"
"zz Brisbane","2025-05-27T02:23:00Z",,"-33.24355668, 116.04259821","18x32","800","140","70",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:24:23Z","VS",,"2025-05-27T02:24:23Z"
"zz Brisbane","2025-05-27T02:27:00Z",,"-33.24355668, 116.04259821","18x32","200","0","0",,,"1","MM48","David Yang","H-60","2","2025-05-27T02:27:59Z","VS",,"2025-05-27T02:28:02Z"
"zz Brisbane","2025-05-27T02:28:00Z",,"-33.24355668, 116.04259821","18x32","500","0","0",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:28:16Z","VS",,"2025-05-27T02:28:16Z"
"zz Brisbane","2025-05-27T02:28:00Z",,"-33.24355668, 116.04259821","18x32","800","24","12",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:28:43Z","VS",,"2025-05-27T02:28:43Z"
"zz Brisbane","2025-05-27T02:37:00Z",,"-33.24355668, 116.04259821","18x32","200","36","18",,"Un","0","MM48","David Yang","H-60","2","2025-05-27T02:38:03Z","VS",,"2025-05-27T02:38:03Z"
"zz Brisbane","2025-05-27T02:38:00Z",,"-33.24355668, 116.04259821","18x32","500","60","30",,"Un","0","MM48","David Yang","H-60","2","2025-05-27T02:38:34Z","VS",,"2025-05-27T02:38:34Z"
"zz Brisbane","2025-05-27T02:38:00Z",,"-33.24355668, 116.04259821","18x32","800","24","12",,,"1","MM48","David Yang","H-60","2","2025-05-27T02:39:03Z","VS",,"2025-05-27T02:39:04Z"
"zz Brisbane","2025-05-27T02:41:00Z",,"-33.24355668, 116.04259821","18x32","200","36","18",,"Un","1","MM48","David Yang","H-60","2","2025-05-27T02:41:49Z","VS",,"2025-05-27T02:41:50Z"
"zz Brisbane","2025-05-27T02:41:00Z",,"-33.24355668, 116.04259821","18x32","500","48","24",,"Un","0","MM48","David Yang","H-60","2","2025-05-27T02:42:23Z","VS",,"2025-05-27T02:42:23Z"
"zz Brisbane","2025-05-27T02:42:00Z",,"-33.24355668, 116.04259821","18x32","800","116","58",,"Un","0","MM48","David Yang","H-60","2","2025-05-27T02:42:51Z","VS",,"2025-05-27T02:42:51Z"
"zz Brisbane","2025-05-27T02:46:00Z",,"-33.24355668, 116.04259821","18x32","200","56","28",,"Un","1","MM48","David Yang","H-60","2","2025-05-27T02:46:54Z","VS",,"2025-05-27T02:46:55Z"
"zz Brisbane","2025-05-27T02:46:00Z",,"-33.24355668, 116.04259821","18x32","500","56","28",,"Un","0","MM48","David Yang","H-60","2","2025-05-27T02:47:31Z","VS",,"2025-05-27T02:47:31Z"
"zz Brisbane","2025-05-27T02:47:00Z",,"-33.24355668, 116.04259821","18x32","800","16","8",,,"0","MM48","David Yang","H-60","2","2025-05-27T02:47:55Z","VS",,"2025-05-27T02:47:55Z"
"zz Brisbane","2025-05-27T02:52:00Z",,"-33.24355668, 116.04259821","18x32","200","152","76",,"Un","0","MM48","David Yang","H-60","2","2025-05-27T02:52:53Z","VS",,"2025-05-27T02:52:53Z"
"zz Brisbane","2025-05-27T02:53:00Z",,"-33.24355668, 116.04259821","18x32","500","100","50",,"Un","0","MM48","David Yang","H-60","2","2025-05-27T02:54:22Z","VS",,"2025-05-27T02:54:22Z"
"zz Brisbane","2025-05-27T02:58:00Z",,"-33.24374444, 116.03984386","18x32","200","44","22",,"Compare un","0","MM48","David Yang","H-60","2","2025-05-27T02:58:59Z","VS",,"2025-05-27T02:58:59Z"
"zz Brisbane","2025-05-27T02:59:00Z",,"-33.24374444, 116.03984386","18x32","500","44","22",,"Compare un","0","MM48","David Yang","H-60","2","2025-05-27T02:59:39Z","VS",,"2025-05-27T02:59:39Z"
"zz Brisbane","2025-05-27T02:59:00Z",,"-33.24374444, 116.03984386","18x32","800","22","11",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:00:13Z","VS",,"2025-05-27T03:00:13Z"
"zz Brisbane","2025-05-27T03:03:00Z",,"-33.24374259, 116.03984438","18x32","200","56","28",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:04:43Z","VS",,"2025-05-27T03:04:43Z"
"zz Brisbane","2025-05-27T03:04:00Z",,"-33.24374259, 116.03984438","18x32","500","32","16",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:05:09Z","VS",,"2025-05-27T03:05:09Z"
"zz Brisbane","2025-05-27T03:05:00Z",,"-33.24374259, 116.03984438","18x32","800","96","48",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:05:35Z","VS",,"2025-05-27T03:05:35Z"
"zz Brisbane","2025-05-27T03:08:00Z",,"-33.24374259, 116.03984438","18x32","200","52","26",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:08:52Z","VS",,"2025-05-27T03:08:52Z"
"zz Brisbane","2025-05-27T03:08:00Z",,"-33.24374259, 116.03984438","18x32","500","32","16",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:09:24Z","VS",,"2025-05-27T03:09:24Z"
"zz Brisbane","2025-05-27T03:09:00Z",,"-33.24374259, 116.03984438","18x32","800","52","26",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:10:00Z","VS",,"2025-05-27T03:10:00Z"
"zz Brisbane","2025-05-27T03:12:00Z",,"-33.24374444, 116.03984386","18x32","200","52","26",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:13:18Z","VS",,"2025-05-27T03:13:18Z"
"zz Brisbane","2025-05-27T03:13:00Z",,"-33.24374444, 116.03984386","18x32","500","72","36",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:13:45Z","VS",,"2025-05-27T03:13:45Z"
"zz Brisbane","2025-05-27T03:13:00Z",,"-33.24374444, 116.03984386","18x32","800","52","26",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:14:10Z","VS",,"2025-05-27T03:14:10Z"
"zz Brisbane","2025-05-27T03:17:00Z",,"-33.24374444, 116.03984386","18x32","200","76","38",,,"1","MM48","David Yang","H-60","2","2025-05-27T03:17:52Z","VS",,"2025-05-27T03:17:54Z"
"zz Brisbane","2025-05-27T03:17:00Z",,"-33.24374444, 116.03984386","18x32","500","64","32",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:18:28Z","VS",,"2025-05-27T03:18:28Z"
"zz Brisbane","2025-05-27T03:18:00Z",,"-33.24374444, 116.03984386","18x32","800","224","112",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:19:02Z","VS",,"2025-05-27T03:19:02Z"
"zz Brisbane","2025-05-27T03:23:00Z",,"-33.24374444, 116.03984386","18x32","200","0","0",,,"1","MM48","David Yang","H-60","2","2025-05-27T03:24:14Z","VS",,"2025-05-27T03:24:15Z"
"zz Brisbane","2025-05-27T03:24:00Z",,"-33.24374444, 116.03984386","18x32","500","16","8",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:24:27Z","VS",,"2025-05-27T03:24:27Z"
"zz Brisbane","2025-05-27T03:24:00Z",,"-33.24374444, 116.03984386","18x32","800","48","24",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:24:51Z","VS",,"2025-05-27T03:24:51Z"
"zz Brisbane","2025-05-27T03:26:00Z",,"-33.24374444, 116.03984386","18x32","200","0","0",,,"1","MM48","David Yang","H-60","2","2025-05-27T03:27:12Z","VS",,"2025-05-27T03:27:14Z"
"zz Brisbane","2025-05-27T03:27:00Z",,"-33.24374444, 116.03984386","18x32","500","16","8",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:27:37Z","VS",,"2025-05-27T03:27:37Z"
"zz Brisbane","2025-05-27T03:27:00Z",,"-33.24374444, 116.03984386","18x32","800","96","48",,,"0","MM48","David Yang","H-60","2","2025-05-27T03:27:50Z","VS",,"2025-05-27T03:27:50Z"
"zz Brisbane","2025-05-27T03:33:00Z",,"-33.26133728, 116.02853393","18x32","200","0","0",,,"1","MM48","David Yang","H-60","2","2025-05-27T03:33:46Z","VS",,"2025-05-27T03:33:46Z"
